"year","oblast","rayon","Voted","dem","prorus","region","sum"
2006,"Дніпропетровська область","Томаківський район",15226,0.219098909759622,0.576382503612242,"Південний-Схід",0.795481413371864
2006,"Дніпропетровська область","місто Павлоград",63668,0.194006408242759,0.692969780737576,"Південний-Схід",0.886976188980336
2006,"Дніпропетровська область","місто Тернівка",16192,0.136795948616601,0.785881916996047,"Південний-Схід",0.922677865612648
2006,"Дніпропетровська область","Павлоградський район",18855,0.149244232299125,0.702466189339698,"Південний-Схід",0.851710421638823
2006,"Дніпропетровська область","Юр'ївський район",8553,0.155033321641529,0.568338594645154,"Південний-Схід",0.723371916286683
2006,"Дніпропетровська область","місто Першотравенськ",15904,0.143108651911469,0.733714788732394,"Південний-Схід",0.876823440643863
2006,"Дніпропетровська область","Петропавлівський район",19089,0.113678034470114,0.777882550159778,"Південний-Схід",0.891560584629892
2006,"Дніпропетровська область","Апостолівський район",33178,0.158779914401109,0.660106094399904,"Південний-Схід",0.818886008801013
2006,"Дніпропетровська область","Криворізький район",21775,0.185533869115959,0.684730195177956,"Південний-Схід",0.870264064293915
2006,"Дніпропетровська область","Софіївський район",16636,0.181413801394566,0.660254868958884,"Південний-Схід",0.84166867035345
2006,"Дніпропетровська область","Широківський район",15674,0.166262600484879,0.654013015184382,"Південний-Схід",0.820275615669261
2006,"Дніпропетровська область","місто Новомосковськ",37845,0.234694147179284,0.606024573919937,"Південний-Схід",0.840718721099221
2006,"Дніпропетровська область","Новомосковський район",40145,0.158898991157056,0.651837090546768,"Південний-Схід",0.810736081703824
2006,"Дніпропетровська область","Магдалинівський район",19909,0.144105680847858,0.700386759756894,"Південний-Схід",0.844492440604752
2006,"Дніпропетровська область","Царичанський район",16293,0.199349413858712,0.619407107346713,"Південний-Схід",0.818756521205426
2006,"Дніпропетровська область","Петриківський район",12249,0.215691076822598,0.580210629439138,"Південний-Схід",0.795901706261736
2006,"Дніпропетровська область","Васильківський район",19206,0.111111111111111,0.70988232843903,"Південний-Схід",0.820993439550141
2006,"Дніпропетровська область","Межівський район",14391,0.140365506219165,0.712945590994371,"Південний-Схід",0.853311097213536
2006,"Дніпропетровська область","Покровський район",22434,0.164794508335562,0.721092983863778,"Південний-Схід",0.88588749219934
2006,"Дніпропетровська область","Синельниківський район",22673,0.17897940281392,0.634499184051515,"Південний-Схід",0.813478586865435
2006,"Дніпропетровська область","місто Синельникове",17305,0.17954348454204,0.624443802369257,"Південний-Схід",0.803987286911297
2006,"Донецька область","місто Донецьк",515291,0.0510973411140501,0.891465210919655,"Донбас",0.942562552033705
2006,"Донецька область","місто Торецьк",48853,0.0332016457535873,0.907743639080507,"Донбас",0.940945284834094
2006,"Донецька область","місто Мирноград",27808,0.0403481012658228,0.904919447640967,"Донбас",0.94526754890679
2006,"Донецька область","місто Бахмут",65653,0.0503861209693388,0.890865611624755,"Донбас",0.941251732594093
2006,"Донецька область","Бахмутський район",37734,0.051730534796205,0.898791540785499,"Донбас",0.950522075581704
2006,"Донецька область","місто Лиман",30367,0.042842559357197,0.883623670431719,"Донбас",0.926466229788916
2006,"Донецька область","Мангушський район",16414,0.0383209455343,0.900085293042525,"Донбас",0.938406238576825
2006,"Донецька область","Костянтинівський район",13878,0.0384061103905462,0.904453091223519,"Донбас",0.942859201614065
2006,"Донецька область","Мар'їнський район",51147,0.044479637124367,0.897139617181848,"Донбас",0.941619254306215
2006,"Донецька область","місто Горлівка",166339,0.0365999555125376,0.909840746908422,"Донбас",0.94644070242096
2006,"Донецька область","місто Дебальцеве",27724,0.0253570913288126,0.927679988457654,"Донбас",0.953037079786467
