"rayon","oblast","pop_2006","pop_2007","pop_2012","pop_2014","pop_2019","ua_2006","ua_2007","ua_2012","ua_2014","ua_2019","ru_2006","ru_2007","ru_2012","ru_2014","ru_2019","rayon_en"
"Буринський район","Сумська область",0.194947830862164,0.416402939441077,0.482062146892655,0.187653784918223,0.797598051566306,0.357695571863611,0.336855656278496,0.184604519774011,0.706686930091185,0.0765096161921559,0.351555089611103,0.191921900981602,0.304731638418079,0.0701259227095093,0.0923826320651717,"Buryn district"
"Буський район","Львівська область",0.338128576452159,0.558424768787085,0.416421036301582,0.167698677316528,0.493291853004083,0.491544387967137,0.358868962773892,0.498409866583928,0.801780676363903,0.440161384405989,0.0585978709120552,0.0477342791792356,0.0680654669562519,0.00828051148646173,0.0143884892086331,"Busk district"
"Бучацький район","Тернопільська область",0.323277732994357,0.460501901140684,0.370995317029659,0.126985206597517,0.602730696798493,0.567185465368636,0.47519391634981,0.502341485170594,0.84999149804455,0.331591337099812,0.04948223476158,0.0430722433460076,0.110830298074779,0.00482911069545996,0.0168549905838041,"Buchach district"
"Білгород-Дністровський район","Одеська область",0.0669004822446295,0.093119173764335,0.126476072094469,0.105477528089888,0.669409709452004,0.0513517463100979,0.0457715780296425,0.111870727159727,0.411189138576779,0.0496965796248621,0.726289639047202,0.783951445241768,0.719834857498002,0.369335205992509,0.240161824200074,"Bilhorod-Dnistrovskyi district"
"Біловодський район","Луганська область",0.0509648688767937,0.0563807801601653,0.0449211109662277,0.0960572576594676,0.362906423473434,0.0246783770410688,0.0280935158873676,0.0301864649889164,0.253766951280763,0.0395519429024584,0.874938149430975,0.868121932317231,0.910353370713261,0.539050728277248,0.579103885804917,"Bilovodsk district"
"Білогірський район","АР Крим, Севастополь",0.109899901981169,0.104410036635101,0.218565852911916,NA,NA,0.146226274987376,0.14933987696136,0.0754572587433994,NA,NA,0.616092909971188,0.69426971728762,0.663694803703987,NA,NA,"Bilohirsk district"
"Білогірський район","Хмельницька область",0.296223820605035,0.433519039687554,0.410752688172043,0.206070070613797,0.578187589751342,0.176803469430929,0.196427545804377,0.213527575442248,0.667300380228137,0.0848764265739551,0.421356039771525,0.319395784274309,0.342906694415539,0.0766567083107007,0.0467840677197491,"Bilohirsk district"
"Білозерський район","Херсонська область",0.246569278441788,0.333737823170526,0.253560614556465,0.176580094442426,0.682950047597575,0.165766563376125,0.121953685913641,0.247093566595641,0.60325099891028,0.122551230021544,0.460941419507157,0.456399366299255,0.465141490037756,0.158599709407919,0.171251064682599,"Bilozerka district"
"Білокуракинський район","Луганська область",0.0844094942644831,0.0997885172710895,0.133715284521266,0.148672809792326,0.372038470560638,0.0382367794531419,0.0368136602177489,0.0567100407846184,0.254572961078256,0.0524278676988037,0.800519443041627,0.813425236938983,0.785006797436395,0.508733324164489,0.556884822894675,"Bilokurakyne Raion"
"Білопільський район","Сумська область",0.25064634187288,0.467463430729186,0.427529712581088,0.199869070399839,0.758193863319386,0.266091394419635,0.263408732631888,0.190113168237132,0.675798166985598,0.0860646211064621,0.339656851223853,0.210397037797412,0.347885790046877,0.0777520394803102,0.123721524872152,"Bilopillia district"
"Білоцерківський район","Київська область, Київ",0.468358254040175,0.529155313351499,0.486863213432676,0.17765132322563,0.745828327326125,0.114756079142124,0.185728882833787,0.204876831485509,0.729781346221304,0.155252970230944,0.319800634345265,0.223671662125341,0.274250472353927,0.0487975990957633,0.0674142304098251,"Bila Tserkva district"
"Більмацький район","Запорізька область",0.09302016985138,0.13309011309741,0.179229048356565,0.145006139991813,0.625470729202328,0.0560642250530786,0.0613644655235316,0.143004646360351,0.507777322963569,0.0906082391874929,0.742834394904459,0.741189346953666,0.638272242299088,0.285918952108064,0.259728403514778,"Bilmatskyy district"
